CaseId,ActivityName,ActivityTime,Resource,Role,OrderType,OrderValue,Currency,Priority,PaymentTerms,VendorID,VendorName,VendorCategory,VendorRating,PreferredVendor,RequesterID,Department,CostCenter,ApprovalLevel,InvoiceNumber,InvoiceDate,InvoiceAmount,InvoiceStatus,PaymentMethod,PaymentStatus,PaymentDate,DiscountApplied
PO334053,Place Order,2025-05-04 14:00:00,Tom Anderson,Requester,Standard,1225.07,USD,Medium,Net60,V5506,Service Specialists,Services,3.1,True,EMP4811,Finance,CC127,1,INV-356787,2025-04-30,1232.57,Paid,Credit Card,Completed,2025-05-04,17.96
PO334053,Receive Order,2025-05-05 08:26:38,Michael Brown,Buyer,Standard,1225.07,USD,Medium,Net60,V5506,Service Specialists,Services,3.1,True,EMP4811,Finance,CC127,1,INV-356787,2025-04-30,1232.57,Paid,Credit Card,Completed,2025-05-04,17.96
PO334053,Process Order,2025-05-05 08:43:11,Robert Taylor,Buyer,Standard,1225.07,USD,Medium,Net60,V5506,Service Specialists,Services,3.1,True,EMP4811,Finance,CC127,1,INV-356787,2025-04-30,1232.57,Paid,Credit Card,Completed,2025-05-04,17.96
PO334053,Receive Invoice,2025-05-05 09:41:20,Payment Gateway,System,Standard,1225.07,USD,Medium,Net60,V5506,Service Specialists,Services,3.1,True,EMP4811,Finance,CC127,1,INV-356787,2025-04-30,1232.57,Paid,Credit Card,Completed,2025-05-04,17.96
PO334053,Review Invoice,2025-05-05 09:46:30,James White,Ap Clerk,Standard,1225.07,USD,Medium,Net60,V5506,Service Specialists,Services,3.1,True,EMP4811,Finance,CC127,1,INV-356787,2025-04-30,1232.57,Paid,Credit Card,Completed,2025-05-04,17.96
PO334053,Create Payment,2025-05-05 10:36:58,James White,Ap Clerk,Standard,1225.07,USD,Medium,Net60,V5506,Service Specialists,Services,3.1,True,EMP4811,Finance,CC127,1,INV-356787,2025-04-30,1232.57,Paid,Credit Card,Completed,2025-05-04,17.96
PO334053,Authorize Payment,2025-05-05 11:11:08,VP Chen,Approver,Standard,1225.07,USD,Medium,Net60,V5506,Service Specialists,Services,3.1,True,EMP4811,Finance,CC127,1,INV-356787,2025-04-30,1232.57,Paid,Credit Card,Completed,2025-05-04,17.96
PO334053,Update Customer Balance,2025-05-05 11:44:49,Invoice System,System,Standard,1225.07,USD,Medium,Net60,V5506,Service Specialists,Services,3.1,True,EMP4811,Finance,CC127,1,INV-356787,2025-04-30,1232.57,Paid,Credit Card,Completed,2025-05-04,17.96
PO334053,Verify Successful Payment,2025-05-05 11:50:43,ERP System,System,Standard,1225.07,USD,Medium,Net60,V5506,Service Specialists,Services,3.1,True,EMP4811,Finance,CC127,1,INV-356787,2025-04-30,1232.57,Paid,Credit Card,Completed,2025-05-04,17.96
PO301629,Place Order,2025-05-04 14:00:00,Ahmed Al-Rashid,Requester,Express,8968.18,USD,Low,Net30,V6925,Global Tech Solutions,Software,4.7,False,EMP5554,Finance,CC954,1,INV-705397,2025-05-02,8846.96,Paid,Bank Transfer,Completed,2025-05-04,0.0
